# t	<x>	<p>	C(t)
14.4	6.596362923605502	(-0.946246330555996+0.7922019791553697j)	0.5067784086587142
14.600000000000001	6.538195831789344	(0.16645866057427092+1.1164655238569055j)	0.5067784086587142
14.8	6.852289688247526	(1.1076651972201572-0.48188899572567656j)	0.5067784086587143
15.0	6.889599678229093	(-0.06042963138769162-2.306759179359832j)	0.5067784086587144
15.200000000000001	6.761072227241315	(0.5062544396093616+0.012420673816374163j)	0.5067784086587145
15.4	6.809401972637782	(-0.005612282640108581+0.34197671727653367j)	0.5067784086587147
15.600000000000001	6.905612158874633	(-0.8995291021551657-0.8134738974902743j)	0.5067784086587148
15.8	6.712493681537067	(0.9103087697506301-0.0896912134052203j)	0.5067784086587149
16.0	6.514488416102524	(0.7323297460229312-1.3694219484977312j)	0.506778408658715
16.2	6.661501951679741	(-0.3204141492937518-0.03101219438297761j)	0.5067784086587153
16.400000000000002	6.710014918234249	(0.6506738489180954+0.34689691206168843j)	0.5067784086587154
16.6	6.707381137464942	(-0.47018430489972896-0.9420424696460281j)	0.5067784086587155
16.8	6.6072927672951	(0.16869287179670617+1.6897702036704794j)	0.5067784086587157
17.0	6.404928298584263	(0.0707434446897432+0.2129974107267124j)	0.5067784086587158
17.2	6.616405655379864	(-0.5866453231107169+0.06543507193231081j)	0.5067784086587159
17.400000000000002	6.747227160637287	(-1.0251790304606239+0.15626300840410778j)	0.506778408658716
17.6	6.825898528291126	(0.27924361048039525+0.4129229366066875j)	0.506778408658716
17.8	6.6509285559261215	(0.11259744536128438-0.9909070728753202j)	0.5067784086587163
18.0	6.750050228680003	(0.8136509761872249-0.9519883795710191j)	0.5067784086587166
18.2	6.564775683341067	(-1.11658674279191+0.9058093885266292j)	0.5067784086587167
18.400000000000002	6.646670909783685	(0.23886793005371487+0.4271270490757606j)	0.5067784086587168
18.6	6.729778693349597	(-1.990085385823941+1.3560448706082333j)	0.5067784086587169
18.8	6.954442418192369	(-2.467577365965219-0.4961446072670989j)	0.506778408658717
19.0	6.689617047819414	(-2.3960219052358362+0.008181099720948371j)	0.5067784086587173
19.200000000000003	6.7032982146776074	(0.20850158508456984+1.4473355620845552j)	0.5067784086587173
19.400000000000002	6.983676422407804	(-0.70260238246296+0.27492824763319645j)	0.5067784086587175
19.6	6.858931031529238	(1.02806585842681-0.9084190977011963j)	0.5067784086587176
19.8	6.5244000212091775	(-0.4079036084223326-0.05822679406782863j)	0.5067784086587176
20.0	6.65921743220617	(-3.0280547964166877-2.8943121624437644j)	0.5067784086587179
20.200000000000003	6.7903185366829995	(-1.0112384160265924-0.054886775035009674j)	0.506778408658718
